File Name,Description,Creation date,Software used,Software version,Entity relationship diagram file name (this should be enclosed separately),Supporting documentation file name (this should be enclosed separately),,
ICRATES_CATALOGUE.csv,ICRATES catalogue table: Information about each sherd of tableware included in the database.,07-Jun-18,MS Excel for Mac,15.21.1,ICRATES_ER.png,ICRATES_METADATA.xlsx,,
ICRATES_LOCATION.csv,ICRATES location table: Information about each site for which tableware is included in the CATALOGUE table,07-Jun-18,MS Excel for Mac,15.21.1,ICRATES_ER.png,ICRATES_METADATA.xlsx,,
ICRATES_PUBLICATION.csv,ICRATES publication table: Information about each publication from which published tableware evidence was recorded in the CATALOGUE table,07-Jun-18,MS Excel for Mac,15.21.1,ICRATES_ER.png,ICRATES_METADATA.xlsx,,
ICRATES_DEPOSIT.csv,ICRATES deposit table: Information about each archaeological deposit in which tableware included in the CATALOGUE table was found.,07-Jun-18,MS Excel for Mac,15.21.1,ICRATES_ER.png,ICRATES_METADATA.xlsx,,
ICRATES_STANDARD_FORM.csv,"ICRATES standard form table: typological and chronological information for the major tableware typologies:  ESA, ESB, ESC, ESD, Candarli, ITS, ARSW, CRSW, PRSW",07-Jun-18,MS Excel for Mac,15.21.1,ICRATES_ER.png,ICRATES_METADATA.xlsx,,
ICRATES_OCK.csv,ICRATES OCK table: chronological information of ITS stamps,07-Jun-18,MS Excel for Mac,15.21.1,ICRATES_ER.png,ICRATES_METADATA.xlsx,,
ICRATES_LRP.csv,"ICRATES LRP table: chronological information about late roman pottery stamps for the following wares: ARSW, CRSW, PRSW, ERSW",07-Jun-18,MS Excel for Mac,15.21.1,ICRATES_ER.png,ICRATES_METADATA.xlsx,,
,,,,,,,,
Table Name,Table Description,Primary Key,Foreign Key,Field Name,"Field Description (inc. units of measurements, description of codes, etc. used within each field).",Field Data Type,Field Length,
ICRATES_CATALOGUE.csv,ICRATES catalogue table: Information about each sherd of tableware included in the database.,ICRATES_ID,"Location_ID, Deposit_ID, Standard_Form_ID, Publication_ID, OCK_ID, LRP_ID",ICRATES_ID,Unique identifier for each sherd entry in the ICRATES database,integer,6,
,,,,Publication_ID,Foreign key referring to the ICRATES_PUBLICATION table. Unique identifier for the publication in which the sherd entry is published.,integer,5,
,,,,Deposit_ID,Foreign key referring to the ICRATES_DEPOSIT table. Unique identifier for the deposit from which the sherd entry was recovered,integer,5,
,,,,Location_ID,Foreign key referring to the ICRATES_LOCATION table. Unique identifier for the location where the sherd entry was excavated,integer,5,
,,,,Location_specific,"The name of the location/site/trench. In many cases this is the same as the location of the site recorded as the 'location_simple' field in the ICRATES_LOCATION table. However, in some cases the 'location_specific' describes a part/section/trench/area of an excavation/site/survey. In cases where the publication of a site or suvey distinguishes between different areas, trenches, sections etc. the 'location_specific' will state the area/trench/section where the sherd was excacated and the 'location_simple' in the ICRATES_LOCATION table indicates the site/survey as a whole.",text,100,
,,,,Fabric_ID,The fabric of the sherd. Each fabric listed in the 'Fabric' field has a numerical identifier associated with it in the 'Fabric_ID' field e.g. ESC = 51,integer,5,
,,,,Fabric,The fabric of the sherd. Each fabric listed in this field has a numerical identifier associated with it in the 'Fabric_ID' field e.g. ESC = 51,text,100,
,,,,Fabric_Uncertain,is the fabric identification of the sherd uncertain? 1=yes,integer,1,
,,,,Standard_Form_ID,"Foreign key referring to the ICRATES_STANDARD_FORM table. Unique identifier for the standard typological form of the sherd entry. Only for the following major wares are established standard typologies available and included: ESA, ESB, ESC, ESD, Candarli, Pontic Sigillata, ITS, ARSW, CRSW, PRSW.",integer,5,
,,,,Standard_Form_Publication_Uncertain,"Is the standard form identification published in the publication where the sherd appears uncertain or does no standard typology exist for the identified ware? 1=yes, 0=no",integer,1,
,,,,Standard_Form_ICRATES,If based on the provided published description and figures of the sherd the published typological identification can be doubted and an alternative typology can be suggested by ICRATES team members then this is included in this field.,text,100,
,,,,OCK_ID,A unique identifier for the OCK stamp numbers of ITS sherds stored in the ICRATES_OCK table.,integer,5,
,,,,OCK_Number_Uncertain,"Is the OCK number identification in field 'OCK_ID' uncertain? 1=yes, 0=no or not applicable",integer,1,
,,,,LRP_ID,"A unique identifier for the LRP stamp numbers of ARSW, PRSW, CRSW, ERSW sherds stored in the ICRATES_LRP table.",integer,5,
,,,,LRP_Stamp_Publication_Uncertain,"Is the LRP number identification in the publication uncertain? 1=yes, 0=no or not applicable",integer,1,
,,,,LRP_Stamp_ICRATES,If based on the provided published description and figures of the sherd the published LRP stamp identification can be doubted and an alternative LRP stamp typology can be suggested by ICRATES team members then this is included in this field.,text,100,
,,,,Catalogue_Number,"The catalogue number as published, preceded by the abbreviation of the site and year of publication. In case no straightforward catalogue number is published, a new catalogue number was systematically created following the abbreviation of the site and the year of publication.",text,200,
,,,,Illustration,"A reference to the published illustration of the sherd, in case this exists.",text,200,
,,,,Pages,The page(s) of the publication where the catalogue entry can be found:  every page whereupon the specific entry is mentioned and/or discussed.,text,200,
,,,,Min_Rim_Diameter_mm,"The minimum rim diameter in mm. In general, the rim diameter is measured at the upper lip of the rim, or in the case of a horizontal rim, at the outer point. Thus no confusion arises. But in some cases, for example with flanged bowls or plates, the diameter is measured at that flange and usually mentioned. In such cases we do not enter the diameter.",integer,5,
,,,,Max_Rim_Diameter_mm,"The maximum rim diameter in mm. In general, the rim diameter is measured at the upper lip of the rim, or in the case of a horizontal rim, at the outer point. Thus no confusion arises. But in some cases, for example with flanged bowls or plates, the diameter is measured at that flange and usually mentioned. In such cases we do not enter the diameter.",integer,5,
,,,,Min_Base_Diameter_mm,"The minimum base diameter in mm. Measured at the outer end in the case of a broad base ring, in the case of a thin base ring this is generally clear.",integer,5,
,,,,Max_Base_Diameter_mm,"The maximum base diameter in mm. Measured at the outer end in the case of a broad base ring, in the case of a thin base ring this is generally clear.",integer,5,
,,,,Min_Height_mm,"The minimum height of a vessel in mm. The height of a vessel is only entered if it pertains to the height of the entire vessel, thus from rim to base.",integer,5,
,,,,Max_Height_mm,"The maximum height of a vessel in mm. The height of a vessel is only entered if it pertains to the height of the entire vessel, thus from rim to base.",integer,5,
,,,,Fragment,"What part of the vessel is the published fragment from? One can choose from a whole range of possibilities, but basically will come down whether the rim is preserved, the rim-body, the body-base or the rim-base. In the latter case the entire profile is known. Other possibilities that do occur are rim-neck or rim-shoulder (both in the case of jugs), a handle, etc.",text,200,
,,,,Specific_Shape,Shape of the vessel,text,200,
,,,,Rouletting,"Is rouletting decoration present? 1=yes, 0=no",integer,1,
,,,,Place_of_Rouletting,The place where rouletting decoration is applied,text,200,
,,,,Moulded,"Is moulded decoration present? 1=yes, 0=no",integer,1,
,,,,Stamped,"Is stamped decoration present? 1=yes, 0=no",integer,1,
,,,,Epigraphic_Anepigraphic_Empty,"Is the stamp epigraphic (such as for a potter's stamp), anepigraphic but including decorational features, or is it an empty stamp?",text,100,
,,,,Retrograde_Ligature,"Is the stamp retrograde, ligature or both",text,100,
,,,,Place_of_Stamped_Decoration,Where on the vessel is the stamped decoration applied?,text,200,
,,,,Potters_Stamp,"Transcription of the potter's stamp. Only those characters which are preserved are included, both for ITS as for Eastern Sigillatas. For characters that are unreadable or broken off squared brackets [] are used",text,200,
,,,,Suggested_Reading,Suggested reading of the potter's stamp,text,200,
,,,,Stamp_Shape,The shape of the stamp,text,200,
,,,,Applique,"Is applique decoration present? 1=yes, 0=no",integer,1,
,,,,Place_of_Applique,place of the applique decoration.,text,200,
,,,,Gouged,"Is gouged decoration present? 1=yes, 0=no",integer,1,
,,,,Sanded,"Is sanded decoration present? 1=yes, 0=no",integer,1,
,,,,Painted,"Is painted decoration present? 1=yes, 0=no",integer,1,
,,,,Incised,"Is incised decoration present? 1=yes, 0=no",integer,1,
,,,,Repaired,"Is there evidence of repair of the vessel? 1=yes, 0=no",integer,1,
,,,,Glazed,"Is glazing present? 1=yes, 0=no",integer,1,
,,,,Barbotine,"Is barbotine decoration present? 1=yes, 0=no",integer,1,
,,,,Burnished,"Is the vessel burnished? 1=yes, 0=no",integer,1,
,,,,Combed,"Is combed decoration present? 1=yes, 0=no",integer,1,
,,,,Description_of_Decoration,A free description of the decoration present on the vessel,text,500,
,,,,Graffito,"Is a graffito present? 1=yes, 0=no",integer,1,
,,,,Epigraphic_Anepigraphic,"Is the graffito epigraphic, anepigraphic or both?",text,200,
,,,,Complete,Is the graffito complete?,text,200,
,,,,Graffito_Reading,A description and (if possible) transcription of the graffito,text,200,
,,,,Reading_Uncertain,Is the graffito reading uncertain? 1=yes,integer,1,
,,,,Location_of_Graffito,Where is the graffito located on the vessel?,text,200,
,,,,Comment_Remarks_Graffito,Comments and remarks about the graffito on the vessel,text,1000,
,,,,Bibliographic_Reference_Parallels,Bibliographic references of parallels given by the author or from personal observation,text,1000,
,,,,Comment_Remarks,"Comments or remarks about the sherd. Descriptions, discussions and additional interpretations from the publication are added here.",text,2000,
,,,,General_Shape,Is the shape open or closed?,text,100,
,,,,Function,"An interpretation of the general function of the vessel when possible: beverage, cooking, food, food preparation, mixing, ritual, seasoning, serving, storage, writing",text,100,
ICRATES_LOCATION.csv,ICRATES location table: Information about each site for which tableware is included in the CATALOGUE table,Location_ID,,Location_ID,Unique identifier for each location,integer,5,
,,,,Location_simple,"The name of the site without any special characters, spaces or capitalization. The ancient name is used when known, else the modern name is used.",text,100,
,,,,Longitude,Longitude coordinate of location,decimal,15,
,,,,Latitude,Latitude coordinate of location,decimal,15,
,,,,Coordinates_uncertain,"Are the coordinates of this location stored in the Longitude and Latitude fields unknown or uncertain? 0=no, 1=yes",integer,1,
,,,,Harbour,"Was the location a harbour, did it possess a harbour or was it extremely close to a harbour? 0=no, 1=yes",integer,1,
,,,,Sea,"The Sea along which the location was positioned, if any. not_available indicates this information is not included in the database for this location",text,100,
,,,,River,"The river along which the location was positioned, if any. not_available indicates this information is not included in the database for this location",text,100,
,,,,River_navigability,"If the location lies along a river, is it navigabel or not: Navigable=yes, Non-navigable=no, not_available indicates this information is not included in the database for this location",text,100,
,,,,Road,"The road along which the location was positioned, if any. not_available indicates this information is not included in the database for this location",text,100,
,,,,Topographic_features,"A general description of the topography of the location: Coastal_plain, Hilly, Mountainous, River_bank, not_available indicates this information is not included in the database for this location",text,100,
,,,,Modern_country,The modern country in which the location is positioned,text,100,
,,,,Late_Hellenistic_Area_Provincia,The area or province in which the location was positioned during the late Hellenistic era around the first century BC,text,100,
,,,,Early_Imperial_Province,The province in which the location was positioned during the Early imperial era around the early second century AD,text,100,
,,,,Middle_Imperial_Province,The province in which the location was positioned during the Middle imperial era around the fourth century AD,text,100,
,,,,Early_Byzantine_region,The region in which the location was positioned during the early Byzantine era around the late fifth century AD,text,100,
,,,,Comment_Remarks,Comments or remarks about this location,text,1000,
,,,,BA_map_reference,The map and square where this location can be found in the Barrington Atlas (Talbert et al. 2000). not_available indicates this information is not included in the database for this location,text,10,
,,,,BA_Rank,"The rank of the location as recorded in the Barrington Atlas (Talbert et al. 2000). This refers to the differences in font style and size used in the Atlas to distinguish between location ranks. There are a totle of five ranks (1,2,3,4,5) but in practice ranks 4 and 5 are hardly distinguishable in the atlas, hence locations of rank 4 and 5 are indicated by the number 4 here. The number 0 indicates that the location is not included in the Barrington Atlas or could not be identified in it.",integer,1,
,,,,BA_rank_uncertain,"Is the BA_Rank identified uncertain or unknown? 0=no, 1=yes",integer,1,
,,,,Pleiades_URL,The unique URL that links to this located as it is recorded in Pleiades. This field enables linking the ICRATES data based on places through services such as Pelagios.,text,200,
ICRATES_DEPOSIT.csv,ICRATES deposit table: Information about each archaeological deposit in which tableware included in the CATALOGUE table was found.,Deposit_ID,,Deposit_ID,Unique identifier for each deposit,integer,5,
,,,,Deposit,Name of the deposit as it appears in the publication. If no name of the deposit is published then a structured name was constructed consisting of an abbreviation of the site name and the date of publication. ‘NOT_SPECIFIED’ refers to cases where a deposit is mentioned but not further specified. 'NOT_MENTIONED’ refers to cases no deposit is referred to whatsoever.,text,200,
,,,,Lower_Date,The chronological lower date of the deposit as it is published. If no clear date is given then this field is left blank.,integer,5,
,,,,Upper_Date,The chronological upper date of the deposit as it is published. If no clear date is given then this field is left blank.,integer,5,
,,,,Archaeological_Context,"Short description of the archaeological context of the deposit, e.g. what site, area of site, trench, it is part of.",text,500,
,,,,Urban_nature,"Description whether this deposit is in an urban public area or not. not_available indicates this information is not included for this deposit in the database. The possible values for this field are ""not_available"" ""Non-urban_(Non-public)"" ""Non-urban_(public)"" ""Non-urban_(Semi-public)"" ""Urban (Non-public)"" ""Urban (Public)"" ""Urban (Semi-public)""",text,100,
,,,,Site_type_1,"Type of site of which the deposit is part, referring to the site as a whole: e.g. shipwreck, street, agora, etc",text,100,
,,,,Site_type_2,"Type of site of which the deposit is part, referring to a more specific area than Site_type_1: e.g. Space/room, Pit, Courtyard, etc",text,100,
,,,,Nature_Deposit,"the basic quality of the archaeological deposit: either open, closed or mixed. Most deposits are considered as open, containing intrusive or residual material. Mixed deposits are not common, and indicate such deposits wherein clear different chronological groups can be identified. Thirdly, closed deposits are also not common and of course are the most important deposits from a typo-chronological perspective.",text,100,
,,,,Formation_Deposit,"primary, secondary or mixed depositioning of material. A primary deposit is rare, but may of course be identified in case of destruction or collapse and the material that was left behind was not touched upon till excavated. In principle the material is considered to be secondary because a deposit wherein all vessels found are entirely complete is very rare. What can also occur is that a deposit is mixed, and contains material that can be considered to be primary as well material that may be secondary",text,100,
