Publication_ID,Publication,Authors,Year_of_Publication,Bibliographic_Reference,Excavation,Survey,Catalogue,Quantification,Years_of_Activity,Comment_Remarks,Team,Bibl_Abr

1,Williams 1977,Williams,1977,"A Byzantine Well-deposit from Anemurium (Rough Cilicia), in: AS XXVII, 1977, 175-90.",1,0,1,0,1971-2,,American,A Byzantine Well-dep ...

3,Abadie-Reynal & Sodini 1992,Abadie-Reynal & Sodini,1992,"Abadie-Reynal, C.-J.-P. Sodini, 1992: La ceramique paleochretienne de Thasos (Aliki, Delkos, fouilles anciennes), Paris (etudes Thasiennes XIII).",1,0,1,0,"1969-1971, 1973 & 1976-1977",,French,"Abadie-Reynal, C.-J. ..."

4,Abadie-Reynal 1987,Abadie-Reynal,1987,"Ceramique romaine, in: V. Karageorghis/O. Picard/Chr. Tytgat (eds.), 1987: La necropole d'Amathonte, tombes 113-367, II. Ceramiques non chypriotes, Nicosia (etudes Chypriotes VIII) (pp. 45-58).",1,0,1,0,,,French,"Ceramique romaine, i ..."

5,Abadie-Reynal 1989,Abadie-Reynal,1989,"La ceramique romaine de Porsuk, in: XI Kazi Sonuçlari Toplantisi, Antalya 18-23 mayis 1989, pp. 221-8.",1,0,1,0,1969-1971,,French,La ceramique romaine ...

6,Abadie-Reynal 1995,Abadie-Reynal,1995,"etude de la ceramique, in: P. Marchetti/K. Kolokotsas, 1995: Le nymphee de l'agora d'Argos. Fouille, etude architecturale et historique, Paris (etudes Peloponnesiennes XI) (pp. 295-320).",1,0,1,0,1976-1979,,French,etude de la ceramiqu ...

7,Abadie-Reynal 2005,Abadie-Reynal,2005,"Les sigillees africaines ˆ Zeugma, in: F. Baratte/V. Deroche/C. Jolivet-Levy/B. Pitarakis (eds.), 2005: Melanges Jean-Pierre Sodini, Paris (Travaux et Memoires 15) (pp. 523-46).",1,0,1,1,1996-2000,,French,Les sigillees africa ...

8,Adamsheck 1979,Adamsheck,1979,"Adamsheck, B., 1979: The pottery, Leiden (Kenchreai, Eastern port of Corinth IV.).",1,0,1,0,1963-1966 & 1968,,American,"Adamsheck, B., 1979: ..."

9,Adan-Bayewitz 1986,Adan-Bayewitz,1986,"The pottery from the Late Byzantine building (stratum 4) and its implications, in: L.I. Levine/E. Netzer, 1986: Excavations at Caesarea Maritima 1975, 1976, 1979 _ Final report, Jerusalem (Qedem 21) (pp. 90-131).",1,0,1,1,1975-6 & 1979,,Israelitish,The pottery from the ...

10,Aharoni 1962,Aharoni,1962,"Excavations at Ramat Rahel. Seasons 1959 and 1960, Rome (Serie Archeologica 2).",1,0,1,0,1959-1960,,Israelitish,Excavations at Ramat ...

11,Akyurek 1992,Akyurek,1992,"Terra sigillata aus dem Heiligtum des Apollon Smintheios, in: 1992: Studien zum antiken Kleinasien II, Bonn (AMSt Band 8) (pp. 125-65).",1,0,1,0,1980-1990,,German-Turkish,Terra sigillata aus  ...

12,Anderson-Stojanovic 1992,Anderson-Stojanovic,1992,"Stobi 1, The Hellenistic and Roman pottery, Princeton.",1,0,1,1,1970-1981,,American-Yugoslav,"Stobi 1, The Helleni ..."

13,Angeli 2007,Angeli,2007,"Aggeli, A., ?e?aµ??? ap? t? ??µa??? te???? t?? ????p????, in: K.L. Zachos (ed.) 2007: Nicopolis B. Proceedings of the Second International Nicopolis Symposium (11-15 September 2002) Volumes I & II, Preveza (527-32).",1,0,1,0,2000,,Greek,"Aggeli, A., ?e?aµ??? ..."

14,Armstrong 2005,Armstrong,2005,"The construction date of the baptistery at Xanthos, in: F. Baratte/V. Deroche/C. Jolivet-Levy/B. Pitarakis (eds.), 2005: Melanges Jean-Pierre Sodini, Paris (Travaux et Memoires 15) (pp. 547-53).",1,0,1,0,1970-,,French,The construction dat ...

15,Arslan 2003,Arslan,2003,"Antiocheia (Pisidya) kazilarinda bulunan seramikler, in: Olba X, 2003, pp. 209-38.",1,0,1,0,1983-,,Turkish,Antiocheia (Pisidya) ...

16,Ates 2001,Ates,2001,"Die Eastern Sigillata B aus einer fruhkaiserzeitlichen Auffullungsschicht in Aizanoi, in: Arch. Anz., 2001 Heft 2, pp. 319-32.",1,0,1,0,1991-1995,,German-Turkish,Die Eastern Sigillat ...

