start poin,end point,total cost,layer,path
13,13,0.000,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
13,460,8.565,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
13,334,9.856,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
13,40,10.066,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
13,91,11.772,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
13,347,11.772,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
13,365,13.056,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
13,330,13.265,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
13,66,13.414,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
13,34,13.414,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
13,41,13.956,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
13,26,14.805,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
13,100,14.805,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
13,92,15.389,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
13,28,15.389,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
13,409,16.010,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
13,387,16.193,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
13,411,16.987,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
13,102,17.733,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
13,139,18.018,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
13,121,18.772,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
13,364,18.772,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
13,212,20.647,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
13,216,20.647,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
13,336,26.191,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
13,16,27.326,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
13,57,29.176,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
13,63,32.409,Aizanoi,C:/Users/him628/Documents/Aizanoi-LCP.shp|layername=Aizanoi-LCP
16,16,0.000,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
16,212,9.352,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
16,216,9.352,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
16,121,12.187,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
16,364,12.187,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
16,411,12.733,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
16,330,14.560,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
16,336,14.895,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
16,92,16.519,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
16,28,16.519,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
16,26,16.525,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
16,100,16.525,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
16,102,16.783,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
16,139,17.747,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
16,409,18.162,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
16,91,20.999,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
16,347,20.999,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
16,365,21.983,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
16,57,22.083,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
16,41,22.509,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
16,66,22.596,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
16,34,22.596,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
16,334,22.979,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
16,40,23.106,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
16,460,24.896,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
16,13,27.326,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
16,387,28.446,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
16,63,40.546,Alexandreia,C:/Users/him628/Documents/Alexandreia-LCP.shp|layername=Alexandreia-LCP
26,26,0.000,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,100,0.000,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,92,0.865,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,28,0.865,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,409,3.530,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,411,3.791,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,330,3.918,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,121,5.576,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,364,5.576,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,212,7.452,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,216,7.452,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,91,11.824,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,347,11.824,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,336,12.995,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,365,13.724,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,102,13.795,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,334,13.804,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,40,13.931,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,139,14.080,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
