"Var1","Var2","CO_Hellenistic","CO_Roman","CO_diff"
100,102,1,0.6,0.4
100,121,0.8,0.6,0.2
100,13,0.4,0.2,0.2
100,139,1,0.6,0.4
100,16,0.8,0.6,0.2
100,212,0.8,0.8,0
100,216,0.8,0.4,0.4
100,26,0.8,0.4,0.4
100,28,0.6,0.4,0.2
100,330,1,0.6,0.4
100,334,0.6,0.2,0.4
100,336,0.8,0.4,0.4
100,34,0.8,0.6,0.2
100,347,0.6,0.4,0.2
100,364,0.8,0.4,0.4
100,365,0.8,0.4,0.4
100,387,0.8,0.4,0.4
100,40,0.8,0.4,0.4
100,409,0.8,0.4,0.4
100,41,0.8,0.6,0.2
100,411,1,0.6,0.4
100,460,0.8,0.4,0.4
100,57,0.8,0.4,0.4
100,63,0.8,0.6,0.2
100,66,0.6,0.6,0
100,91,0.8,0.4,0.4
100,92,0.8,0.6,0.2
102,121,0.8,1,-0.2
102,13,0.4,0.2,0.2
102,139,1,1,0
102,16,0.8,1,-0.2
102,212,0.8,0.4,0.4
102,216,0.8,0.8,0
102,26,0.8,0.8,0
102,28,0.6,0.4,0.2
102,330,1,1,0
102,334,0.6,0.6,0
102,336,0.8,0.8,0
102,34,0.8,1,-0.2
102,347,0.6,0.4,0.2
102,364,0.8,0.8,0
102,365,0.8,0.8,0
102,387,0.8,0.8,0
102,40,0.8,0.8,0
102,409,0.8,0.8,0
102,41,0.8,1,-0.2
102,411,1,1,0
102,460,0.8,0.8,0
102,57,0.8,0.8,0
102,63,0.8,0.6,0.2
102,66,0.6,1,-0.4
102,91,0.8,0.8,0
102,92,0.8,0.6,0.2
121,13,0.6,0.2,0.4
121,139,0.8,1,-0.2
121,16,0.6,1,-0.4
121,212,1,0.4,0.6
121,216,1,0.8,0.2
121,26,1,0.8,0.2
121,28,0.8,0.4,0.4
121,330,0.8,1,-0.2
121,334,0.4,0.6,-0.2
121,336,1,0.8,0.2
121,34,0.6,1,-0.4
121,347,0.8,0.4,0.4
121,364,1,0.8,0.2
121,365,0.6,0.8,-0.2
121,387,0.6,0.8,-0.2
121,40,0.6,0.8,-0.2
121,409,1,0.8,0.2
121,41,0.6,1,-0.4
121,411,0.8,1,-0.2
121,460,0.6,0.8,-0.2
121,57,1,0.8,0.2
121,63,1,0.6,0.4
121,66,0.8,1,-0.2
121,91,0.6,0.8,-0.2
121,92,1,0.6,0.4
13,139,0.4,0.2,0.2
13,16,0.6,0.2,0.4
13,212,0.6,0.4,0.2
13,216,0.6,0.4,0.2
13,26,0.6,0.4,0.2
13,28,0.8,0.4,0.4
13,330,0.4,0.2,0.2
13,334,0.8,0.6,0.2
13,336,0.6,0.4,0.2
13,34,0.6,0.2,0.4
13,347,0.8,0.8,0
13,364,0.6,0.4,0.2
13,365,0.6,0.4,0.2
