"","ESA","ESB","ESC","ESD","ITS"
"1",1.92062852538276,0,0,0,0
"100",84.2732295652524,0,0.793650793650794,1.19047619047619,0
"106",1.40008058017728,0,0,0,0
"111",22.1322567185459,0,0,0.595238095238095,0
"117",0.49,0,0,0,0
"118",2.82003219923131,0,0,0.490196078431373,0
"12",0.961538461538462,0,0,0,0
"120",2,0,0,0,0
"121",62.7711932914302,3,0.842105263157895,7.05940594059406,11.9094454986295
"124",0.672131147540984,0,0,0,0
"127",4.02778974397959,0,0,0,0
"128",3.26744370860927,0,0,0,0
"13",0,10.0327657378741,0,0,0
"144",0.479452054794521,0,0,0,0
"145",4.65326477080899,0,0,0,0
"146",2.38204975124378,0,0,0,0
"149",5.05816698692122,4.15783087596685,0,0,0
"152",10.5866021712757,0,0,0,0
"153",13.3421196996484,0,0,0,0
"158",1.69977642925583,0,0,0,0
"16",26.158389712644,4.52941176470588,3.90263114157004,1.70627062706271,18.9290533417668
"160",0.392,0,0,0.549407881964667,0.361111111111111
"205",3.26489082046472,0,0,0,0
"212",94.5747299496898,0,0,11.4106553512494,0
"216",29.7663227626851,1,0,28.0634134842056,10.4676892262281
"233",3.52862827511825,0,0,0,0.509803921568627
"24",9.13866811794762,0.0817630150111785,1.13636363636364,9.40224422442244,3.26832658172798
"26",142.200873045822,1.00990099009901,0,0.595238095238095,16.4603991307027
"28",150.270212623614,0,0,0,4.12320248736883
"32",1.43127548048923,1.0461177696717,19.3508312064806,0,0.44578313253012
"328",10.2710236425601,0,0,0,2
"332",0.496688741721854,0,0,0,0
"334",0,0.509803921568627,17.1744457505381,0,0.806894243641232
"336",60.0135890998651,1.00990099009901,0,1.10513908533711,22.6477421271539
"338",6.82251553675133,0,0,0,0
"339",4.35049926898311,0,0,0,0.44578313253012
"344",2.95890410958904,0,0,0,0
"345",5.96237112063567,0,0,0,0
"347",1.42117647058824,15.2549019607843,0,0,0
"352",0.920628525382756,0,0,0,0
"353",0.441176470588235,0,0,0,0
"36",9.49060402086663,0,0,0,0
"364",59.3573227296957,0.0384615384615385,0,4.82819672944738,4.08333333333333
"369",6.77035530133904,0.0707196029776675,0,0,3.12320248736883
"389",7.05032958613493,0,0,0,0
"39",4.16881988926284,0,0,0.666666666666667,1.50980392156863
"40",9.62000591434835,6.30276440956789,412.235617973722,0,5.74652777777778
"409",122.238828245291,1.54256965944273,0,7.28170674210278,8.49095304800364
"411",135.055362696991,1.01960784313725,2.99464647957333,6.51410267077128,1
"413",2.41062852538276,0,0,1.78571428571429,0
"414",0.479452054794521,0,0,0,0
"415",0.441176470588235,0,0,0,0
"416",0.83429076447194,0,0,0,0
"420",3.59275967292374,0,0,0,0
"421",0.441176470588235,0,0,0,0
"422",1.44117647058824,0,0,0,0
"423",0.441176470588235,0,0,0,0
"424",3.33864095146255,0,0,0,0
"428",3.03393614351197,0,0,0,0
"431",0.479452054794521,0,0,0,0
"435",4.41731726710461,0,0,0,0
"436",0.920628525382756,0,0,0,0
"444",3.42609300625707,0,0,0,0
"46",11.9606256653102,0,0,0,0
"460",1.26345205479452,2.07837583418783,19.8474555272992,0,1.52941176470588
"478",8.14726305959198,0,0,0,0
"49",0.920628525382756,0,0,0,0
"59",10.0301748946498,0,0,2.45827439886846,18.0142621093675
"69",0.961538461538462,0,0,0,0
"70",4.26100909218438,0,0,0,0
"78",0.441176470588235,0.0263157894736842,0,0,0
"79",4.66650980392157,0,0,0,0
"80",13.1760867792187,0,0,0,0
"83",14.4682737870543,0,0,0,0
"87",0.920628525382756,0,0,0,0
"91",89.4416460682746,141.239563377206,15.2053892821343,0,42.516823906207
"92",312.35819554077,0,0,3.38095238095238,6.72222222222222
"97",4.97058823529412,0,0,0,0
